Identifiant,"Date (AAAA/MM/JJ)",Heure,Nom,"Région épicentrale",Choc,"X RGF93/L93","Y RGF93/L93","Latitude en WGS 84","Longitude en WGS 84","Intensité épicentrale","Qualité intensité épicentrale"
730194,1983/11/11,"21 h 10 min 28 sec","VANOISE (TIGNES)","ALPES SAVOYARDES",,1003424.05,6490858.17,45.45,6.88,5,"ASSEZ SURE"
790031,1983/11/20,"23 h 41 min 11 sec","PLAINE DE NIORT (VILLIERS-EN-PLAINE)",POITOU,,430935.62,6589305.95,46.35,-0.50,4,"ASSEZ SURE"
60121,1983/12/04,"17 h 34 min 53 sec","ALPES NICOISES (BREIL-SUR-ROYA)","ALPES MARITIMES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",1062490.64,6325295.57,43.93,7.52,4,INCERTAINE
60122,1983/12/05,"9 h 53 min 16 sec","ALPES NICOISES (BREIL-SUR-ROYA)","ALPES MARITIMES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",1062490.64,6325295.57,43.93,7.52,,
60123,1983/12/05,"9 h 53 min 38 sec","ALPES NICOISES (BREIL-SUR-ROYA)","ALPES MARITIMES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",1062490.64,6325295.57,43.93,7.52,,
60124,1983/12/05,"10 h 39 min 37 sec","ALPES NICOISES (BREIL-SUR-ROYA)","ALPES MARITIMES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",1062490.64,6325295.57,43.93,7.52,4,INCERTAINE
60125,1983/12/10,"23 h 39 min 12 sec","ALPES NICOISES (BREIL-SUR-ROYA)","ALPES MARITIMES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",1062490.64,6325295.57,43.93,7.52,3,"INFORMATION ISOLÉE"
680115,1983/12/11,"16 h 0 min 23 sec","VOSGES ALSACIENNES (MUNSTER)",ALSACE,,1011747.25,6776735.70,48.02,7.18,4,INCERTAINE
680116,1983/12/11,"21 h 36 min 56 sec","VOSGES ALSACIENNES (MUNSTER)",ALSACE,REPLIQUE,1011747.25,6776735.70,48.02,7.18,3,INCERTAINE
60126,1983/12/14,"6 h 25 min","ALPES NICOISES (BREIL-SUR-ROYA)","ALPES MARITIMES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",1063020.02,6316050.81,43.85,7.52,,
60127,1983/12/14,"14 h 45 min 40 sec","ALPES NICOISES (BREIL-SUR-ROYA)","ALPES MARITIMES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",1062490.64,6325295.57,43.93,7.52,3.5,"INFORMATION ISOLÉE"
60128,1983/12/15,"22 h 16 min 31 sec","ALPES NICOISES (BREIL-SUR-ROYA)","ALPES MARITIMES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",1062490.64,6325295.57,43.93,7.52,4,"INFORMATION ISOLÉE"
40165,1983/12/22,"18 h 12 min 22 sec","UBAYE (BARCELONNETTE)","ALPES PROVENCALES",,992092.75,6369853.29,44.37,6.67,4,"ASSEZ SURE"
650444,1983/12/25,"16 h 47 min 54 sec","BIGORRE (OSSEN)","PYRENEES CENTRALES",,450068.33,6223450.24,43.07,-0.07,3.5,"INFORMATION ISOLÉE"
40166,1984/01/10,"15 h 58 min 30 sec","UBAYE (BARCELONNETTE)","ALPES PROVENCALES",,990680.43,6371641.23,44.38,6.65,3.5,"INFORMATION ISOLÉE"
60137,1984/01/12,"11 h 54 min 37 sec","ALPES NICOISES (BREIL-SUR-ROYA)","ALPES MARITIMES","SECOUSSE INDIVIDUALISEE D UN ESSAIM",1062490.64,6325295.57,43.93,7.52,4,"INFORMATION ISOLÉE"
830016,1984/01/30,"20 h 8 min 26 sec","BASSE-PROVENCE (AIGUINES)",PROVENCE,,961587.19,6303641.30,43.78,6.25,3.5,"INFORMATION ISOLÉE"
130118,1984/02/19,"21 h 14 min 37 sec","BASSE-PROVENCE (MIMET)",PROVENCE,,902534.12,6260712.25,43.42,5.50,6,SURE
130119,1984/02/20,"3 h 34 min 51 sec","BASSE-PROVENCE (MIMET)",PROVENCE,REPLIQUE,902534.12,6260712.25,43.42,5.50,4,"ASSEZ SURE"
130120,1984/02/20,"8 h 49 min 11 sec","BASSE-PROVENCE (MIMET)",PROVENCE,REPLIQUE,902534.12,6260712.25,43.42,5.50,,
650445,1984/02/23,"5 h 51 min 43 sec","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",,464597.17,6211775.66,42.97,0.12,5,"ASSEZ SURE"
640462,1984/02/25,"2 h 3 min 17 sec","PAYS BASQUE (BAIGORRY)","PYRENEES OCCIDENTALES",,346077.75,6237612.61,43.15,-1.35,6,"ASSEZ SURE"
640463,1984/02/25,"6 h 42 min 54 sec","PAYS BASQUE (BAIGORRY)","PYRENEES OCCIDENTALES",REPLIQUE,348787.05,6237463.77,43.15,-1.32,,
640464,1984/02/25,"13 h 12 min 45 sec","PAYS BASQUE (BAIGORRY)","PYRENEES OCCIDENTALES",REPLIQUE,348787.05,6237463.77,43.15,-1.32,,
1150044,1984/02/25,"6 h 8 min 20 sec","PERTUIS D'ANTIOCHE (E. ST-DENIS-D'OLERON)",CHARENTES,,370350.56,6560785.58,46.07,-1.27,,
640465,1984/02/27,"21 h 35 min 30 sec","PAYS BASQUE (BAIGORRY)","PYRENEES OCCIDENTALES",REPLIQUE,348787.05,6237463.77,43.15,-1.32,,
640466,1984/02/28,"10 h 0 min 51 sec","PAYS BASQUE (HASPARREN)","PYRENEES OCCIDENTALES",REPLIQUE,348787.05,6237463.77,43.15,-1.32,,
640467,1984/03/22,"4 h 36 min 13 sec","PAYS BASQUE (BAIGORRY)","PYRENEES OCCIDENTALES",REPLIQUE,348787.05,6237463.77,43.15,-1.32,,
50096,1984/04/05,"6 h 37 min 30 sec","QUEYRAS (L'ARGENTIERE-LA-BESSEE)","ALPES DAUPHINOISES",,981958.60,6417574.34,44.80,6.57,3.5,"INFORMATION ISOLÉE"
630088,1984/04/11,"4 h 35 min 32 sec","MONTS-DORE (MUROL)",AUVERGNE,,694799.82,6496354.00,45.57,2.93,,
260192,1984/04/17,"8 h 53 min 39 sec","VERCORS (ROCHEFORT-SAMSON)",DAUPHINE,,870761.37,6433910.79,44.98,5.17,5.5,SURE
260193,1984/04/19,"20 h 41 min 18 sec","VERCORS (ROCHEFORT-SAMSON)",DAUPHINE,REPLIQUE,872074.53,6433946.97,44.98,5.18,5,SURE
740131,1984/05/03,"8 h 56 min 51 sec","FAUCIGNY (CLUSES)","ALPES SAVOYARDES",,971828.06,6556080.44,46.05,6.52,5,"ASSEZ SURE"
40176,1984/06/19,"11 h 40 min 37 sec","PREALPES DE DIGNE (AIGLUN)","ALPES PROVENCALES",,952360.94,6332922.98,44.05,6.15,6,SURE
40177,1984/06/30,"19 h 34 min 6 sec","PREALPES DE DIGNE (AIGLUN)","ALPES PROVENCALES",REPLIQUE,951026.37,6332869.85,44.05,6.13,5.5,SURE
640468,1984/08/29,"23 h 30 min 12 sec","PAYS BASQUE (BEHORLEGUY)","PYRENEES OCCIDENTALES",,368822.86,6230832.34,43.10,-1.07,5,"ASSEZ SURE"
640469,1984/08/30,"3 h 52 min","PAYS BASQUE (BEHORLEGUY)","PYRENEES OCCIDENTALES",REPLIQUE,368822.86,6230832.34,43.10,-1.07,,
640493,1984/09/10,"5 h 53 min 22 sec","OSSAU (LOUVIE-JUZON)","PYRENEES OCCIDENTALES",,424354.65,6226355.58,43.08,-0.38,4,"ASSEZ SURE"
1140076,1984/09/26,"5 h 34 min 15 sec","CERDAGNE (RIBAS DE FRESER)",ESPAGNE,REPLIQUE,628577.69,6148550.49,42.43,2.13,,
250033,1984/10/13,"21 h 23 min 15 sec","AVANT-PAYS JURASSIEN (BESANCON)",FRANCHE-COMTE,,935740.43,6686101.00,47.23,6.12,4,"ASSEZ SURE"
650446,1984/10/28,"5 h 13 min 1 sec","BIGORRE (GERMS-SUR-L'OUSSOUET ?)","PYRENEES CENTRALES",,464867.79,6219183.45,43.03,0.12,,
730197,1984/11/05,"7 h 56 min 1 sec","MAURIENNE (ST-JEAN-DE-MAURIENNE)","ALPES SAVOYARDES",,963790.75,6472361.59,45.30,6.37,4,"ASSEZ SURE"
650447,1984/11/17,"4 h 10 min 42 sec","BIGORRE (PIC DU MIDI ?)","PYRENEES CENTRALES",,459226.02,6213828.58,42.98,0.05,4.5,INCERTAINE
660087,1984/12/02,"21 h 49 min 11 sec","FENOUILLEDES (ST-PAUL-DE-FENOUILLET)","PYRENEES ORIENTALES",,661782.31,6189056.28,42.80,2.53,5,"ASSEZ SURE"
880048,1984/12/11,"13 h 56 min 47 sec","HAUTES-VOSGES (ELOYES-REMIREMONT)",VOSGES,PRECURSEUR,973274.28,6774821.74,48.02,6.67,,"INFORMATION ISOLÉE"
880049,1984/12/22,"2 h 18 min 18 sec","HAUTES-VOSGES (ELOYES-REMIREMONT)",VOSGES,PRECURSEUR,968055.88,6780143.59,48.07,6.60,5,"ASSEZ SURE"
880050,1984/12/24,"16 h 44 min 53 sec","HAUTES-VOSGES (ELOYES-REMIREMONT)",VOSGES,PRECURSEUR,968055.88,6780143.59,48.07,6.60,,
